id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag RA DEC
165 2093.9865 382.11944 0.82487107 0.56307236 -0.17455149 121 0 6431 1.6240747 -0.52651502 49.661973 57.295112
166 1254.435 382.25555 0.58831726 -0.051285662 -0.10574824 121 0 6215 1.0976469 -0.1011566 49.155321 57.334327
167 2338.1419 384.36529 0.79864851 0.22005772 -0.06714721 121 0 7328 5.0303816 -1.7540023 49.809247 57.284119
168 52.368101 387.45871 0.45832183 -0.016369985 0.15074511 121 0 6253 1.199276 -0.19729788 48.427854 57.388993
169 411.75932 387.53844 0.35745134 -0.15528523 0.18224281 121 0 6702 3.9520135 -1.492046 48.645779 57.373569
170 508.06608 390.18947 0.22819043 -0.285704 -0.22660216 121 0 6198 1.8334721 -0.65818577 48.704347 57.370238
171 2278.1876 390.69527 0.81626048 0.087055656 -0.087220233 121 0 7429 5.2735788 -1.8052636 49.77371 57.289075
172 1514.4579 394.63204 0.98938058 -0.086194754 -0.012419236 121 0 9861 12.360001 -2.7300463 49.313456 57.326423
173 283.11826 397.93013 0.59404356 -0.24199657 0.29782315 121 0 6387 1.5150731 -0.45108394 48.568628 57.382529
174 351.94935 399.17153 0.75099793 -0.13414022 0.095415703 121 0 6364 1.3569389 -0.33140073 48.610455 57.37996
175 1217.9969 403.08497 0.96119582 -0.079259188 0.025192468 121 0 6881 2.8793045 -1.148219 49.13505 57.342782
176 1279.3945 403.42515 0.96076116 -0.043004753 0.00983875 121 0 7517 4.948479 -1.7361793 49.172191 57.340095
178 584.6988 405.48099 0.4939664 0.010821594 0.14681733 121 0 6297 1.7060735 -0.57999431 48.752003 57.371873
179 780.99318 404.59154 0.73485018 0.16500192 0.61664275 121 0 6273 1.0498874 -0.052856787 48.870804 57.362917
180 1681.8148 409.65918 0.80563129 -0.42754069 -0.23197845 121 0 6242 1.0510712 -0.054080373 49.415792 57.323548
181 911.18238 412.06142 0.65809042 -0.056021016 0.076865201 121 0 9795 16.758026 -3.0605571 48.95022 57.359554
182 1557.427 415.96991 0.95416676 0.38886848 -0.018014588 121 0 6392 1.3060773 -0.28992221 49.341234 57.331393
183 1658.0053 415.70951 0.94818885 0.20155344 -0.015944932 121 0 6613 2.077417 -0.79380922 49.401942 57.326632
184 2346.7884 416.2849 0.99203956 -0.20792636 -0.1043776 121 0 6893 2.809516 -1.1215788 49.817324 57.294107
185 768.34617 416.78655 0.38690665 -0.31361676 0.01202841 121 0 6446 2.8349521 -1.1313643 48.864144 57.367459
186 624.07278 418.07233 0.49545646 -0.094839498 0.13515026 121 0 7801 9.2714081 -2.4178642 48.776873 57.374252
187 1571.6902 418.29983 0.43388687 0.05523307 -0.008965467 121 0 6158 1.0224335 -0.02408768 49.350048 57.331492
188 863.24166 420.25275 0.57270365 -0.18939617 0.29970428 121 0 6300 1.2646118 -0.2548931 48.921878 57.364368
189 701.48402 423.67986 0.34927162 -0.18509567 0.10660102 121 0 6953 6.0086634 -1.9469447 48.824217 57.372669
190 1978.0745 425.8789 0.48604071 0.013893447 0.15038582 121 0 6157 1.0311251 -0.033278429 49.595959 57.314896
191 2350.905 425.41023 0.96456017 0.022161103 0.025201639 121 0 7558 5.0200804 -1.7517767 49.820624 57.296883
